scenario,description,pv_fcff,terminal_value,pv_terminal_value,enterprise_value,model_version,cash,debt_like_lease_liabilities,equity_value,diluted_shares,fair_value_per_share,market_price,price_value_gap_pct,valuation_date,market_price_note
Bear,"North America remains weak, international growth slows, and margin pressure persists.",10050773007.765661,24804669811.38238,10182598216.16546,20233371223.93112,calibrated_mature_growth,1807202000.0,1798441000.0,20242132223.93112,119068000.0,170.0048058582585,116.21,-0.31643108903115313,2026-06-15,Temporary input: MarketWatch reported LULU closed at $116.21 on 2026-06-15.
Base,"lululemon transitions from hyper-growth to mature premium retail: Americas stabilizes, international expansion continues, and margins partially recover.",11548290025.561493,36829148931.219795,15992317524.211075,27540607549.772568,calibrated_mature_growth,1807202000.0,1798441000.0,27549368549.772568,119068000.0,231.37508440363968,116.21,-0.49774194442964004,2026-06-15,Temporary input: MarketWatch reported LULU closed at $116.21 on 2026-06-15.
Bull,"International expansion remains strong, brand heat improves, and operating leverage recovers.",14631854369.409681,66510547516.10628,31275270744.44701,45907125113.85669,calibrated_mature_growth,1807202000.0,1798441000.0,45915886113.85669,119068000.0,385.6274239414174,116.21,-0.6986469509552982,2026-06-15,Temporary input: MarketWatch reported LULU closed at $116.21 on 2026-06-15.
