scenario,first_pass_fair_value_per_share,first_pass_enterprise_value,first_pass_pv_terminal_value,calibrated_fair_value_per_share,calibrated_enterprise_value,calibrated_pv_terminal_value,market_price,price_value_gap_pct,fair_value_change_pct,calibrated_terminal_share
Bear,189.8656037383445,22598156705.9172,12103803584.338854,170.0048058582585,20233371223.93112,10182598216.16546,116.21,-0.3164310890311531,-0.1046045070251711,0.5032576184892976
Base,340.99217898849184,40592495767.80175,27099744043.198616,231.37508440363968,27540607549.772568,15992317524.211077,116.21,-0.49774194442964,-0.32146512834991336,0.5806813627952497
Bull,549.2247701256751,65386333929.32389,48824089594.59352,385.6274239414174,45907125113.85669,31275270744.44701,116.21,-0.6986469509552982,-0.29786957013395976,0.681272692787439
